foodId,label,category,foodContentsLabel,image
6111029000118,Cosumar Sucre En Lingot Pour Le Thé 1 kg,"en:sweeteners, en:sugars",Sugar,https://images.openfoodfacts.org/images/products/611/102/900/0118/front_fr.6.400.jpg
6111180000392,سكر الفانيلين,"en:sweeteners, en:sugars, en:vanillin-sugars","sucre, amidon de maïs, éthylvanilline",https://images.openfoodfacts.org/images/products/611/118/000/0392/front_ar.14.400.jpg
3165433724019,Cassonade pure canne,"en:sweeteners, en:sugars, en:brown-sugars, en:cane-sugar, fr:cassonades",100% pure brown sugar,https://images.openfoodfacts.org/images/products/316/543/372/4019/front_en.46.400.jpg
3174660084513,Cassonade,"en:sweeteners, en:sugars, en:brown-sugars, en:cane-sugars, fr:cassonades",sucre roux de canne,https://images.openfoodfacts.org/images/products/317/466/008/4513/front_en.123.400.jpg
4056489361855,Miel crémeux français & responsable,"en:breakfasts, en:spreads, en:sweet-spreads, en:bee-products, en:farming-products, en:sweeteners, en:honeys, en:flower-honeys, en:honeys-from-france, en:sugars, fr:miels-cremeux, fr:miel-de-fleurs-cremeux, fr:miel-de-fleurs-de-france",Miels de fleurs de France,https://images.openfoodfacts.org/images/products/405/648/936/1855/front_en.7.400.jpg
3165433864012,Profil pack pure canne bio kraft daddy 750g,"en:sweeteners, en:sugars, en:cane-sugar","Sucre bio 100% pure canne, non raffiné",https://images.openfoodfacts.org/images/products/316/543/386/4012/front_fr.105.400.jpg
3760091720207,Sucre complet de canne,"en:sweeteners, en:sugars, en:brown-sugars, en:cane-sugar, fr:sucres-complets",Sucre complet de canne,https://images.openfoodfacts.org/images/products/376/009/172/0207/front_fr.116.400.jpg
6111029000415,Cosumar Sucre Granule - Granulated Sugar,"en:sweeteners, en:sugars, en:granulated-sugars, en:white-sugars",,https://images.openfoodfacts.org/images/products/611/102/900/0415/front_fr.4.400.jpg
6111029000293,enmer,"en:sweeteners, en:sugars, en:cane-sugar",COSUMAR Enmer 1925 1kg Lingots de sucre,https://images.openfoodfacts.org/images/products/611/102/900/0293/front_en.14.400.jpg
20711115,cassonade,"en:sweeteners, en:sugars, en:cane-sugar",100% Sucre Pure Canne,https://images.openfoodfacts.org/images/products/000/002/071/1115/front_en.3.400.jpg
3165433714010,Sucre en poudre,"en:sweeteners, en:sugars, en:beet-sugars, en:caster-sugars, en:granulated-sugars, en:white-sugars","Sucre de betterave 100% français, non raffiné.",https://images.openfoodfacts.org/images/products/316/543/371/4010/front_fr.114.400.jpg
3700214610480,Sucre Cmplet Muscovado,"en:sweeteners, en:sugars, en:brown-sugars, en:cane-sugar, en:muscovado, fr:sucres-complets",Sucre de canne complet,https://images.openfoodfacts.org/images/products/370/021/461/0480/front_fr.491.400.jpg
